date,prediction,q10,q25,q75,q90
2025-10-26,170.48387096774192,116.0,134.0,203.0,247.99998474121094
2025-10-27,170.48387096774192,116.0,134.0,203.0,247.99998474121094
2025-10-28,170.48387096774192,116.0,134.0,203.0,247.99998474121094
2025-10-29,170.48387096774192,116.0,134.0,203.0,247.99998474121094
2025-10-30,170.48387096774192,116.0,134.0,203.0,247.99998474121094
2025-10-31,170.48387096774192,116.0,134.0,203.0,247.99998474121094
2025-11-01,170.48387096774192,116.0,134.0,203.0,247.99998474121094
